name,dismissal,R,B,M,4s,6s,SR,out or not_out
Jason Roy,c du Plessis b Phehlukwayo,54,53,80,8,0,101.88,out
Jonny Bairstow,c de Kock b Imran Tahir,0,1,2,0,0,0.00,out
Joe Root,c Duminy b Rabada,51,59,83,5,0,86.44,out
Eoin Morgan(c),c Markram b Imran Tahir,57,60,73,4,3,95.00,out
Ben Stokes,c Amla b Ngidi,89,79,132,9,0,112.65,out
Jos Buttler,b Ngidi,18,16,21,0,0,112.50,out
Moeen Ali,c du Plessis b Ngidi,3,9,13,0,0,33.33,out
Chris Woakes,c du Plessis b Rabada,13,14,24,1,0,92.85,out
Liam Plunkett,not out,9,6,11,1,0,150.00,not_out
Jofra Archer,not out,7,3,3,1,0,233.33,not_out
Quinton de Kock,c Root b Plunkett,68,74,94,6,2,91.89,out
Hashim Amla,c Buttler b Plunkett,13,23,46,1,0,56.52,out
Aiden Markram,c Root b Archer,11,12,17,2,0,91.66,out
Faf du Plessis(c),c Ali b Archer,5,7,11,1,0,71.42,out
Rassie van der Dussen,c Ali b Archer,50,61,85,4,1,81.96,out
Jean-Paul Duminy,c Stokes b Ali,8,11,12,1,0,72.72,out
Dwaine Pretorius,run out (Stokes/Morgan),1,1,6,0,0,100.00,out
Andile Phehlukwayo,c Stokes b Rashid,24,25,34,4,0,96.00,out
Kagiso Rabada,c Plunkett b Stokes,11,19,23,2,0,57.89,out
Lungi Ngidi,not out,6,5,10,0,1,120.00,not_out
Imran Tahir,c Root b Stokes,0,1,2,0,0,0.00,out
Imam-ul-Haq,c Hope b Cottrell,2,11,15,0,0,18.18,out
Fakhar Zaman,b Russell,22,16,27,2,1,137.50,out
Babar Azam,c Hope b Thomas,22,33,47,2,0,66.66,out
Haris Sohail,c Hope b Russell,8,11,17,1,0,72.72,out
Sarfaraz Ahmed(c),c Hope b Holder,8,12,34,1,0,66.66,out
Mohammad Hafeez,c Cottrell b Thomas,16,24,36,2,0,66.66,out
Imad Wasim,c Gayle b Holder,1,3,6,0,0,33.33,out
Shadab Khan,lbw b Thomas,0,1,3,0,0,0.00,out
Hasan Ali,c Cottrell b Holder,1,4,6,0,0,25.00,out
Wahab Riaz,b Thomas,18,11,19,1,2,163.63,out
Mohammad Amir,not out,3,6,13,0,0,50.00,not_out
Chris Gayle,c Shadab Khan b Mohammad Amir,50,34,51,6,3,147.05,out
Shai Hope,c Mohammad Hafeez b Mohammad Amir,11,17,21,1,0,64.70,out
Darren Bravo,c Babar Azam b Mohammad Amir,0,4,10,0,0,0.00,out
Nicholas Pooran,not out,34,19,35,4,2,178.94,not_out
Shimron Hetmyer,not out,7,8,13,0,0,87.50,not_out
Lahiru Thirimanne,lbw b Henry,4,2,4,1,0,200.00,out
Dimuth Karunaratne(c),not out,52,84,146,4,0,61.90,not_out
Kusal Perera,c de Grandhomme b Henry,29,24,34,4,0,120.83,out
Kusal Mendis,c Guptill b Henry,0,1,3,0,0,0.00,out
Dhananjaya de Silva,lbw b Ferguson,4,13,15,1,0,30.76,out
Angelo Mathews,c Latham b de Grandhomme,0,9,14,0,0,0.00,out
Jeevan Mendis,c Neesham b Ferguson,1,4,5,0,0,25.00,out
Thisara Perera,c Boult b Santner,27,23,35,0,2,117.39,out
Isuru Udana,c Henry b Neesham,0,3,5,0,0,0.00,out
Suranga Lakmal,c Santner b Boult,7,13,19,1,0,53.84,out
Lasith Malinga,b Ferguson,1,2,9,0,0,50.00,out
Martin Guptill,not out,73,51,82,8,2,143.13,not_out
Colin Munro,not out,58,47,82,6,1,123.40,not_out
Mohammad Shahzad,b Starc,0,3,4,0,0,0.00,out
Hazratullah Zazai,c Carey b Cummins,0,2,10,0,0,0.00,out
Rahmat Shah,c Smith b Zampa,43,60,86,6,0,71.66,out
Hashmatullah Shahidi,st Carey b Zampa,18,34,56,3,0,52.94,out
Mohammad Nabi,run out (Smith/Carey),7,22,28,0,0,31.81,out
Gulbadin Naib(c),c Carey b Stoinis,31,33,67,4,1,93.93,out
Najibullah Zadran,c Carey b Stoinis,51,49,66,7,2,104.08,out
Rashid Khan,lbw b Zampa,27,11,23,2,3,245.45,out
Dawlat Zadran,c Carey b Cummins,4,6,5,1,0,66.66,out
Mujeeb Ur Rahman,b Cummins,13,9,18,1,1,144.44,out
Hamid Hassan,not out,1,2,3,0,0,50.00,not_out
Aaron Finch(c),c Mujeeb Ur Rahman b Gulbadin Naib,66,49,63,6,4,134.69,out
David Warner,not out,89,114,131,8,0,78.07,not_out
Usman Khawaja,lbw b Rashid Khan,15,20,32,1,0,75.00,out
Steven Smith,c Hazratullah Zazai b Mujeeb Ur Rahman,18,27,36,1,0,66.66,out
Glenn Maxwell,not out,4,1,2,1,0,400.00,not_out
Tamim Iqbal,c de Kock b Phehlukwayo,16,29,40,2,0,55.17,out
Soumya Sarkar,c de Kock b Morris,42,30,58,9,0,140.00,out
Shakib Al Hasan,b Imran Tahir,75,84,117,8,1,89.28,out
Mushfiqur Rahim,c van der Dussen b Phehlukwayo,78,80,131,8,0,97.50,out
Mohammad Mithun,b Imran Tahir,21,21,21,2,1,100.00,out
Mahmudullah,not out,46,33,48,3,1,139.39,not_out
Mosaddek Hossain,c Phehlukwayo b Morris,26,20,32,4,0,130.00,out
Mehidy Hasan Miraz,not out,5,3,4,1,0,166.66,not_out
Quinton de Kock,run out (Mushfiqur Rahim),23,32,41,4,0,71.87,out
Aiden Markram,b Shakib Al Hasan,45,56,78,4,0,80.35,out
Faf du Plessis(c),b Mehidy Hasan Miraz,62,53,64,5,1,116.98,out
David Miller,c Mehidy Hasan Miraz b Mustafizur Rahman,38,43,62,2,0,88.37,out
Rassie van der Dussen,b Mohammad Saifuddin,41,38,61,2,1,107.89,out
Jean-Paul Duminy,b Mustafizur Rahman,45,37,62,4,0,121.62,out
Andile Phehlukwayo,c Shakib Al Hasan b Mohammad Saifuddin,8,13,18,1,0,61.53,out
Chris Morris,c Soumya Sarkar b Mustafizur Rahman,10,10,16,1,0,100.00,out
Kagiso Rabada,not out,13,9,21,0,1,144.44,not_out
Imran Tahir,not out,10,10,13,0,0,100.00,not_out
Imam-ul-Haq,c Woakes b Ali,44,58,92,3,1,75.86,out
Fakhar Zaman,st Buttler b Ali,36,40,63,6,0,90.00,out
Babar Azam,c Woakes b Ali,63,66,83,4,1,95.45,out
Mohammad Hafeez,c Woakes b Wood,84,62,99,8,2,135.48,out
Sarfaraz Ahmed(c),c & b Woakes,55,44,68,5,0,125.00,out
Asif Ali,c Bairstow b Wood,14,11,17,0,1,127.27,out
Shoaib Malik,c Morgan b Woakes,8,8,18,0,0,100.00,out
Wahab Riaz,c Root b Woakes,4,2,4,1,0,200.00,out
Hasan Ali,not out,10,5,10,0,1,200.00,not_out
Shadab Khan,not out,10,4,3,2,0,250.00,not_out
Jason Roy,lbw b Shadab Khan,8,7,11,2,0,114.28,out
Jonny Bairstow,c Sarfaraz Ahmed b Wahab Riaz,32,31,46,4,1,103.22,out
Joe Root,c Mohammad Hafeez b Shadab Khan,107,104,168,10,1,102.88,out
Eoin Morgan(c),b Mohammad Hafeez,9,18,31,1,0,50.00,out
Ben Stokes,c Sarfaraz Ahmed b Shoaib Malik,13,18,27,1,0,72.22,out
Jos Buttler,c Wahab Riaz b Mohammad Amir,103,76,103,9,2,135.52,out
Moeen Ali,c Fakhar Zaman b Wahab Riaz,19,20,48,1,0,95.00,out
Chris Woakes,c Sarfaraz Ahmed b Wahab Riaz,21,14,23,1,1,150.00,out
Jofra Archer,c Wahab Riaz b Mohammad Amir,1,2,6,0,0,50.00,out
Adil Rashid,not out,3,4,9,0,0,75.00,not_out
Mark Wood,not out,10,6,6,2,0,166.66,not_out
Dimuth Karunaratne(c),c Najibullah Zadran b Mohammad Nabi,30,45,57,3,0,66.66,out
Kusal Perera,c Mohammad Shahzad b Rashid Khan,78,81,150,8,0,96.29,out
Lahiru Thirimanne,b Mohammad Nabi,25,34,39,1,0,73.52,out
Kusal Mendis,c Rahmat Shah b Mohammad Nabi,2,2,4,0,0,100.00,out
Angelo Mathews,c Rahmat Shah b Mohammad Nabi,0,2,5,0,0,0.00,out
Dhananjaya de Silva,c Mohammad Shahzad b Hamid Hassan,0,4,7,0,0,0.00,out
Thisara Perera,run out (Hashmatullah Shahidi/Mohammad Shahzad),2,4,12,0,0,50.00,out
Isuru Udana,b Dawlat Zadran,10,21,22,0,1,47.61,out
Suranga Lakmal,not out,15,13,26,2,0,115.38,not_out
Lasith Malinga,b Dawlat Zadran,4,14,15,1,0,28.57,out
Nuwan Pradeep,b Rashid Khan,0,4,6,0,0,0.00,out
Mohammad Shahzad,c Karunaratne b Malinga,7,12,24,1,0,58.33,out
Hazratullah Zazai,c NLTC Perera b Pradeep,30,25,48,3,1,120.00,out
Rahmat Shah,c Mathews b Udana,2,11,18,0,0,18.18,out
Hashmatullah Shahidi,c MDKJ Perera b Pradeep,4,17,24,0,0,23.52,out
Mohammad Nabi,b NLTC Perera,11,16,21,1,0,68.75,out
Gulbadin Naib(c),lbw b Pradeep,23,32,56,2,0,71.87,out
Najibullah Zadran,run out (Karunaratne),43,56,92,6,0,76.78,out
Rashid Khan,b Pradeep,2,4,7,0,0,50.00,out
Dawlat Zadran,b Malinga,6,18,25,1,0,33.33,out
Hamid Hassan,b Malinga,6,5,12,0,1,120.00,out
Mujeeb Ur Rahman,not out,1,1,4,0,0,100.00,not_out
Hashim Amla,c Sharma b Bumrah,6,9,16,1,0,66.66,out
Quinton de Kock,c Kohli b Bumrah,10,17,28,1,0,58.82,out
Faf du Plessis(c),b Chahal,38,54,77,4,0,70.37,out
Rassie van der Dussen,b Chahal,22,37,59,1,0,59.45,out
David Miller,c & b Chahal,31,40,69,1,0,77.50,out
Jean-Paul Duminy,lbw b Kuldeep Yadav,3,11,11,0,0,27.27,out
Andile Phehlukwayo,st Dhoni b Chahal,34,61,68,2,1,55.73,out
Chris Morris,c Kohli b Kumar,42,34,58,1,2,123.52,out
Kagiso Rabada,not out,31,35,45,2,0,88.57,not_out
Imran Tahir,c Jadhav b Kumar,0,2,2,0,0,0.00,out
Shikhar Dhawan,c de Kock b Rabada,8,12,23,1,0,66.66,out
Rohit Sharma,not out,122,144,212,13,2,84.72,not_out
Virat Kohli(c),c de Kock b Phehlukwayo,18,34,44,1,0,52.94,out
KL Rahul,c du Plessis b Rabada,26,42,71,2,0,61.90,out
MS Dhoni,c & b Morris,34,46,69,2,0,73.91,out
Hardik Pandya,not out,15,7,8,3,0,214.28,not_out
Tamim Iqbal,c Boult b Ferguson,24,38,58,3,0,63.15,out
Soumya Sarkar,b Henry,25,25,35,3,0,100.00,out
Shakib Al Hasan,c Latham b de Grandhomme,64,68,98,7,0,94.11,out
Mushfiqur Rahim,run out (Guptill/Latham),19,35,48,2,0,54.28,out
Mohammad Mithun,c de Grandhomme b Henry,26,33,59,3,0,78.78,out
Mahmudullah,c Williamson b Santner,20,41,52,0,0,48.78,out
Mosaddek Hossain,c Guptill b Boult,11,22,40,0,0,50.00,out
Mohammad Saifuddin,b Henry,29,23,34,3,1,126.08,out
Mehidy Hasan Miraz,c Latham b Boult,7,9,9,0,0,77.77,out
Mashrafe Mortaza(c),c Boult b Henry,1,2,6,0,0,50.00,out
Mustafizur Rahman,not out,0,0,1,0,0,-,not_out
Martin Guptill,c Tamim Iqbal b Shakib Al Hasan,25,14,22,3,1,178.57,out
Colin Munro,c Mehidy Hasan Miraz b Shakib Al Hasan,24,34,41,3,1,70.58,out
Kane Williamson(c),c Mosaddek Hossain b Mehidy Hasan Miraz,40,72,108,1,0,55.55,out
Ross Taylor,c Mushfiqur Rahim b Mosaddek Hossain,82,91,122,9,0,90.10,out
Tom Latham,c Mohammad Saifuddin b Mehidy Hasan Miraz,0,4,5,0,0,0.00,out
James Neesham,c Soumya Sarkar b Mosaddek Hossain,25,33,54,2,1,75.75,out
Colin de Grandhomme,c Mushfiqur Rahim b Mohammad Saifuddin,15,13,23,2,0,115.38,out
Mitchell Santner,not out,17,12,26,2,0,141.66,not_out
Matt Henry,b Mohammad Saifuddin,6,8,16,1,0,75.00,out
Lockie Ferguson,not out,4,3,5,1,0,133.33,not_out
David Warner,c Hetmyer b Cottrell,3,8,24,0,0,37.50,out
Aaron Finch(c),c Hope b Thomas,6,10,13,0,0,60.00,out
Usman Khawaja,c Hope b Russell,13,19,26,2,0,68.42,out
Steven Smith,c Cottrell b Thomas,73,103,178,7,0,70.87,out
Glenn Maxwell,c Hope b Cottrell,0,2,5,0,0,0.00,out
Marcus Stoinis,c Pooran b Holder,19,23,41,4,0,82.60,out
Alex Carey,c Hope b Russell,45,55,62,7,0,81.81,out
Nathan Coulter-Nile,c Holder b Brathwaite,92,60,79,8,4,153.33,out
Pat Cummins,c Cottrell b Brathwaite,2,6,12,0,0,33.33,out
Mitchell Starc,c Holder b Brathwaite,8,9,13,1,0,88.88,out
Adam Zampa,not out,0,0,2,0,0,-,not_out
Chris Gayle,lbw b Starc,21,17,29,4,0,123.52,out
Evin Lewis,c Smith b Cummins,1,5,10,0,0,20.00,out
Shai Hope,c Khawaja b Cummins,68,105,141,7,0,64.76,out
Nicholas Pooran,c Finch b Zampa,40,36,59,5,1,111.11,out
Shimron Hetmyer,run out (Cummins/Maxwell),21,28,31,3,0,75.00,out
Jason Holder(c),c Zampa b Starc,51,57,83,7,1,89.47,out
Andre Russell,c Maxwell b Starc,15,11,19,2,1,136.36,out
Carlos Brathwaite,c Finch b Starc,16,17,31,1,1,94.11,out
Ashley Nurse,not out,19,18,22,4,0,105.55,not_out
Sheldon Cottrell,b Starc,1,2,7,0,0,50.00,out
Oshane Thomas,not out,0,4,12,0,0,0.00,not_out
Jason Roy,c Mashrafe Mortaza b Mehidy Hasan Miraz,153,121,153,14,5,126.44,out
Jonny Bairstow,c Mehidy Hasan Miraz b Mashrafe Mortaza,51,50,81,6,0,102.00,out
Joe Root,b Mohammad Saifuddin,21,29,54,1,0,72.41,out
Jos Buttler,c Soumya Sarkar b Mohammad Saifuddin,64,44,66,2,4,145.45,out
Eoin Morgan(c),c Soumya Sarkar b Mehidy Hasan Miraz,35,33,56,1,2,106.06,out
Ben Stokes,c Mashrafe Mortaza b Mustafizur Rahman,6,7,13,0,0,85.71,out
Chris Woakes,not out,18,8,19,0,2,225.00,not_out
Liam Plunkett,not out,27,9,15,4,1,300.00,not_out
Tamim Iqbal,c Morgan b Wood,19,29,53,1,0,65.51,out
Soumya Sarkar,b Archer,2,8,14,0,0,25.00,out
Shakib Al Hasan,b Stokes,121,119,147,12,1,101.68,out
Mushfiqur Rahim,c Roy b Plunkett,44,50,65,2,0,88.00,out
Mohammad Mithun,c Bairstow b Rashid,0,2,4,0,0,0.00,out
Mahmudullah,c Bairstow b Wood,28,41,66,1,1,68.29,out
Mosaddek Hossain,c Archer b Stokes,26,16,16,4,0,162.50,out
Mohammad Saifuddin,b Stokes,5,8,13,0,0,62.50,out
Mehidy Hasan Miraz,c Bairstow b Archer,12,8,16,2,0,150.00,out
Mashrafe Mortaza(c),not out,4,9,14,0,0,44.44,not_out
Mustafizur Rahman,c Bairstow b Archer,0,3,4,0,0,0.00,out
Hazratullah Zazai,c Munro b Neesham,34,28,48,5,1,121.42,out
Noor Ali Zadran,c Latham b Ferguson,31,38,52,5,0,81.57,out
Rahmat Shah,c Guptill b Neesham,0,4,10,0,0,0.00,out
Hashmatullah Shahidi,c Henry b Ferguson,59,99,143,9,0,59.59,out
Gulbadin Naib(c),c Latham b Neesham,4,4,9,1,0,100.00,out
Mohammad Nabi,c Latham b Neesham,9,24,42,0,0,37.50,out
Najibullah Zadran,c Latham b Neesham,4,3,2,1,0,133.33,out
Ikram Alikhil,c Guptill b de Grandhomme,2,22,34,0,0,9.09,out
Rashid Khan,b Ferguson,0,4,7,0,0,0.00,out
Aftab Alam,c Latham b Ferguson,14,10,10,3,0,140.00,out
Hamid Hassan,not out,7,11,26,1,0,63.63,not_out
Martin Guptill,c Najibullah Zadran b Aftab Alam,0,1,3,0,0,0.00,out
Colin Munro,c Hamid Hassan b Aftab Alam,22,24,38,4,0,91.66,out
Kane Williamson(c),not out,79,99,136,9,0,79.79,not_out
Ross Taylor,b Aftab Alam,48,52,74,6,1,92.30,out
Tom Latham,not out,13,18,27,1,0,72.22,not_out
Rohit Sharma,c Carey b Coulter-Nile,57,70,101,3,1,81.42,out
Shikhar Dhawan,c sub (NM Lyon) b Starc,117,109,163,16,0,107.33,out
Virat Kohli(c),c Cummins b Stoinis,82,77,128,4,2,106.49,out
Hardik Pandya,c Finch b Cummins,48,27,41,4,3,177.77,out
MS Dhoni,c & b Stoinis,27,14,20,3,1,192.85,out
KL Rahul,not out,11,3,6,1,1,366.66,not_out
Kedar Jadhav,not out,0,0,2,0,0,-,not_out
David Warner,c Kumar b Chahal,56,84,111,5,0,66.66,out
Aaron Finch(c),run out (Jadhav/Pandya),36,35,60,3,1,102.85,out
Steven Smith,lbw b Kumar,69,70,115,5,1,98.57,out
Usman Khawaja,b Bumrah,42,39,48,4,1,107.69,out
Glenn Maxwell,c sub (RA Jadeja) b Chahal,28,14,25,5,0,200.00,out
Marcus Stoinis,b Kumar,0,2,3,0,0,0.00,out
Alex Carey,not out,55,35,50,5,1,157.14,not_out
Nathan Coulter-Nile,c Kohli b Bumrah,4,9,22,0,0,44.44,out
Pat Cummins,c Dhoni b Bumrah,8,7,11,1,0,114.28,out
Mitchell Starc,run out (sub [V Shankar]/Kumar),3,3,12,0,0,100.00,out
Adam Zampa,c sub (RA Jadeja) b Kumar,1,3,4,0,0,33.33,out
Quinton de Kock,not out,17,21,37,1,0,80.95,not_out
Hashim Amla,c Gayle b Cottrell,6,7,13,1,0,85.71,out
Aiden Markram,c Hope b Cottrell,5,10,16,1,0,50.00,out
Faf du Plessis(c),not out,0,7,9,0,0,0.00,not_out
Aaron Finch(c),c Mohammad Hafeez b Mohammad Amir,82,84,94,6,4,97.61,out
David Warner,c Imam-ul-Haq b Shaheen Shah Afridi,107,111,161,11,1,96.39,out
Steven Smith,c Asif Ali b Mohammad Hafeez,10,13,28,1,0,76.92,out
Glenn Maxwell,b Shaheen Shah Afridi,20,10,20,2,1,200.00,out
Shaun Marsh,c Shoaib Malik b Mohammad Amir,23,26,46,2,0,88.46,out
Usman Khawaja,c Wahab Riaz b Mohammad Amir,18,16,18,3,0,112.50,out
Alex Carey,lbw b Mohammad Amir,20,21,31,2,0,95.23,out
Nathan Coulter-Nile,c Sarfaraz Ahmed b Wahab Riaz,2,3,9,0,0,66.66,out
Pat Cummins,c Sarfaraz Ahmed b Hasan Ali,2,6,6,0,0,33.33,out
Mitchell Starc,c Shoaib Malik b Mohammad Amir,3,6,10,0,0,50.00,out
Kane Richardson,not out,1,1,3,0,0,100.00,not_out
Imam-ul-Haq,c Carey b Cummins,53,75,107,7,0,70.66,out
Fakhar Zaman,c Richardson b Cummins,0,3,12,0,0,0.00,out
Babar Azam,c Richardson b Coulter-Nile,30,28,37,7,0,107.14,out
Mohammad Hafeez,c Starc b Finch,46,49,69,3,1,93.87,out
Sarfaraz Ahmed(c),run out (Maxwell),40,48,96,1,0,83.33,out
Shoaib Malik,c Carey b Cummins,0,2,4,0,0,0.00,out
Asif Ali,c Carey b Richardson,5,8,9,0,0,62.50,out
Hasan Ali,c Khawaja b Richardson,32,15,17,3,3,213.33,out
Wahab Riaz,c Carey b Starc,45,39,49,2,3,115.38,out
Mohammad Amir,b Starc,0,2,5,0,0,0.00,out
Shaheen Shah Afridi,not out,1,6,5,0,0,16.66,not_out
Chris Gayle,c Bairstow b Plunkett,36,41,57,5,1,87.80,out
Evin Lewis,b Woakes,2,8,14,0,0,25.00,out
Shai Hope,lbw b Wood,11,30,47,1,0,36.66,out
